"timestamp (abs)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
1486,500,0,0,0,1,1
1494,500,0,0,0,0,1
1495,500,0,0,0,1,1
1500,500,0,0,0,1,0
1501,500,0,0,0,1,1
1510,500,0,0,0,1,0
1511,500,0,0,0,1,1
1517,500,0,0,0,0,1
1518,500,0,0,0,1,1
1520,500,0,0,0,1,0
1521,500,0,0,0,1,1
1530,500,0,0,0,1,0
1531,500,0,0,0,1,1
1540,500,0,0,0,1,0
1541,500,0,0,0,1,1
1548,500,0,0,0,0,1
1549,500,0,0,0,1,1
1555,500,0,0,0,0,1
1556,500,0,0,0,1,1
1560,500,0,0,0,1,0
1561,500,0,0,0,1,1
1564,500,0,0,0,0,1
1565,500,0,0,0,1,1
1573,500,0,0,0,0,1
1574,500,0,0,0,1,1
1580,500,0,0,0,1,0
1581,500,0,0,0,1,1
1587,500,0,0,0,0,1
1588,500,0,0,0,1,1
1591,500,0,0,0,1,0
1592,500,0,0,0,1,1
1596,500,0,0,0,0,1
1597,500,0,0,0,1,1
1600,500,0,0,0,1,0
1602,500,0,0,0,1,1
1611,500,0,0,0,1,0
1612,500,0,0,0,1,1
1618,500,0,0,0,0,1
1620,500,0,0,0,1,1
1621,500,0,0,0,1,0
1622,500,0,0,0,1,1
1627,500,0,0,0,0,1
1628,500,0,0,0,1,1
1630,500,0,0,0,1,0
1632,500,0,0,0,1,1
1634,500,0,0,0,0,1
1635,500,0,0,0,1,1
1641,500,0,0,0,1,0
1642,500,0,0,0,1,1
1643,500,0,0,0,0,1
1644,500,0,0,0,1,1
1651,500,0,0,0,1,0
1652,500,0,0,0,1,1
1660,500,0,0,0,1,0
1662,500,0,0,0,1,1
1666,500,0,0,0,0,1
1667,500,0,0,0,1,1
1670,500,0,0,0,1,0
1672,500,0,0,0,1,1
1675,500,0,0,0,0,1
1676,500,0,0,0,1,1
1681,500,0,0,0,1,0
1682,500,0,0,0,1,1
1683,500,0,0,0,0,1
1684,500,0,0,0,1,1
1697,500,0,0,0,0,1
1699,500,0,0,0,1,1
1706,500,0,0,0,0,1
1707,500,0,0,0,1,1
1711,500,0,0,0,1,0
1712,500,0,0,0,1,1
1729,500,0,0,0,0,1
1730,500,0,0,0,1,1
1741,500,0,0,0,1,0
1742,500,0,0,0,1,1
1745,500,0,0,0,0,1
1746,500,0,0,0,1,1
1751,500,0,0,0,1,0
1752,500,0,0,0,1,1
1754,500,0,0,0,0,1
1755,500,0,0,0,1,1
1761,500,0,0,0,1,0
1762,500,0,0,0,1,1
1771,500,0,0,0,1,0
1772,500,0,0,0,1,1
1777,500,0,0,0,0,1
1778,500,0,0,0,1,1
1781,500,0,0,0,1,0
1782,500,0,0,0,1,1
1785,500,0,0,0,0,1
1786,500,0,0,0,1,1
